listing_id,id,date,reviewer_id,reviewer_name,comments
11399407,63987309,2016-02-28,2311446,Matthew,"I felt very at home with Tat immediately as he was very knowledgable, friendly, helpful and welcoming. Tat patiently answered our questions as a local and showed us how to get around and where to go. What a great experience!! His home were as  the pictures, clean, comfortable and convenient. Surrey Hills was such a beautiful, conveniently located heritage area. I highly recommend Tat place. It is hard to beat for convenient location, great host and nice beautiful heritage area."
11399407,64943430,2016-03-09,13329247,Ashok,"Tat was extremely helpful before my arrival and then very hospitable and friendly while I was there. The room was lovely and the bathroom was great. The house overall is extremely well done having been recently renovated - so it made the stay very very easy. The location was great for what I wanted so I could go off and do things during the day, return for a rest and then go out for the evening - and it was within walking distance of everywhere I wanted to go which made it fantastic. This was a wonderful stay and I would thoroughly recommend it to anyone else :-)"
11399407,65108561,2016-03-10,54553132,Yang,"The accommodation is clean, comfortable and the city centre is really close. Tat is a very friendly person, he provided so much information about Sydney, and it helped me a lot. I can really recommend this place!"
11399407,65255615,2016-03-12,255359,Gretha,This was my second stay at Tat's place and it was truly a 'coming home' experience. Tat is a very welcoming host! The house is completely new after the fabulous renovation. I will most definitely book again.
11399407,66521300,2016-03-23,39245983,Vance,"The place is wonderful, clean and in a very nice quiet surrounding and yet nearby to Central station. Tat have been a great host. We feel comfortable, relax and easy. Definitely a great place to stay in Sydney. Thanks for everything Tat!"
11399407,67603989,2016-03-30,27810353,美媛,"房东人好好,来的第一个网上就帮我解决了虎航定不了行李的大问题,我当时好着急啊~房东很贴心自己打印了地图。 从他家到唐人街走路就去了, 还帮我们洗衣服凉衣服。感动啊~"
11399407,69032242,2016-04-08,12943613,Emma,I have the most wonderful Airbnb experience on my resent stay in Tats home. Tat is a very house proud host & ever so welcoming. The room was very comfortable & clean. I have recommended Tat's accommodation highly & will definitely book to stay again when I am next in Sydney.
11399407,69477743,2016-04-11,51710654,Sharon,"My husband and I had a great time at Tat's place. Not only the place itself is easily accessible to the Central train station, it is also very modern and well-equipped. Tat has been very helpful and very responsive to all our questions. We enjoyed chatting with Tat to know more about the local lifestyle in Sydney! Highly recommend this place!"
11399407,70037262,2016-04-15,54714006,Kristel,My stay at Tat's place was great. The neighbours were a bit loud but that wasnt a big deal. The house itself is lovely and lovingly renovated so everything was very clean and well looked after so it was a very comfortable place to stay. Would definitely recommend and stay again myself (I didn't really want to leave!)
11399407,70671338,2016-04-19,60704478,Yan Bin,"The location is about an 8 min walk to central stn. And it was also walking distance to crown street where many of the good cafes are located. Room was clean and tidy and when we went, Tat was not around but he had 2 friends to help us with everything. :) definitely recommend this place!"
